CHG TSX,CHG Oil,CHG Gold,CHG Price,Norm_Gold,Norm_Oil,Norm_TSX,TSX,Gold,Crude,Avg TSX,Norm AVG_TSX,CAD Price,AVG Price
105.2,0.51,-6.7,-0.0004,0.357,0.4436,0.743,16326.90039,"1,294.30",59.14,16261.4502,0.711203948,0.7412,0.7404
-45.4,-0.35,12.95,0.0004,0.5407,0.378,0.5207,16196,"1,297.90",58.81,16170.4502,0.679360826,0.7396,0.7402
-182,-2.55,9.8,0.0035,0.5112,0.2104,0.3191,16144.90039,"1,304.10",56.59,16071.3003,0.644665855,0.7408,0.7404
-198.3,-5.31,24.7,0.0067,0.6505,0,0.2951,15997.7002,"1,322.60",53.5,16025.6001,0.628674241,0.74,0.74215
-91.4,-3.34,35.2,0.0011,0.7486,0.1502,0.4528,16053.5,"1,339.30",53.25,16064.54981,0.642303694,0.7443,0.7455
77.9,-0.02,17.5,0.0017,0.5832,0.4032,0.7027,16075.59961,"1,340.10",53.48,16147.54981,0.671347421,0.7467,0.74605
166,-1.57,5.6,0.0084,0.472,0.2851,0.8328,16219.5,"1,344.90",51.68,16228.4502,0.699656442,0.7454,0.7469
161.8,-0.89,13.9,0.0054,0.5495,0.3369,0.8266,16237.40039,"1,354.00",52.59,16237.3501,0.702770737,0.7484,0.7511
17.8,2.31,12.5,-0.0008,0.5364,0.5808,0.614,16237.29981,"1,357.40",53.99,16235.8501,0.70224585,0.7538,0.7538
-3,0.67,-13.3,-0.0044,0.2953,0.4558,0.5833,16234.40039,"1,340.70",53.26,16262.25,0.711483819,0.7538,0.7534
52.8,-0.72,-14.7,-0.0026,0.2822,0.3498,0.6657,16290.09961,"1,342.70",53.27,16245.89991,0.705762522,0.753,0.7512
-32.7,-2.12,7.5,-0.0038,0.4897,0.2431,0.5395,16201.7002,"1,348.20",51.14,16231.39991,0.700688618,0.7494,0.7499
-29,-0.99,12.4,-0.0047,0.5355,0.3293,0.5449,16261.09961,"1,355.10",52.28,16244.59961,0.705307517,0.7504,0.748
26.4,1.37,7.7,0.0019,0.4916,0.5091,0.6267,16228.09961,"1,355.90",52.51,16264.89991,0.712411086,0.7456,0.74565
40.6,-0.35,-0.9,0.0073,0.4112,0.378,0.6477,16301.7002,"1,354.20",51.93,16376.6001,0.751497711,0.7457,0.7466
223.4,1.39,6.2,0.0107,0.4776,0.5107,0.9175,16451.5,"1,362.10",53.9,16483.4502,0.788887169,0.7475,0.75025
213.7,1.83,5.9,0.0032,0.4748,0.5442,0.9032,16515.40039,"1,360.10",53.76,16550.65039,0.812402158,0.753,0.7556
134.4,2.75,46.2,0.0006,0.8514,0.6143,0.7861,16585.90039,"1,408.30",56.65,16572.40039,0.820013014,0.7582,0.7572
43.5,3.67,51.1,0.0033,0.8972,0.6845,0.652,16558.90039,"1,411.20",57.43,16543,0.809725099,0.7562,0.7575
-58.8,1.25,21.2,0.003,0.6178,0.5,0.501,16527.09961,"1,429.50",57.9,16515.84961,0.800224515,0.7588,0.75915
-54.3,0.4,18.9,0.0042,0.5963,0.4352,0.5076,16504.59961,"1,430.10",57.83,16449.25,0.776919685,0.7595,0.76065
-133.2,1.48,-2.7,0.002,0.3944,0.5175,0.3911,16393.90039,"1,426.80",59.38,16350.3003,0.742294768,0.7618,0.76275
-197.9,1.6,-6.7,-0.0006,0.357,0.5267,0.2956,16306.7002,"1,423.40",59.43,16317.7002,0.730887198,0.7637,0.76375
-65.2,-0.91,-1.7,0.0021,0.4037,0.3354,0.4915,16328.7002,"1,425.10",58.47,16396.14991,0.758338666,0.7638,0.76345
156.9,-3.18,-3.6,0.003,0.386,0.1623,0.8193,16463.59961,"1,419.80",56.25,16475.14942,0.785982523,0.7631,0.7645
158,-1.13,7.8,-0.0015,0.4925,0.3186,0.821,16486.69922,"1,432.90",57.34,16528.5,0.804651195,0.7659,0.766
106.7,0.55,3.75,-0.0024,0.4547,0.4466,0.7452,16570.30078,"1,423.55",56.8,16549.85059,0.812122286,0.7661,0.76525
42.7,0.17,-20.8,-0.0026,0.2252,0.4177,0.6508,16529.40039,"1,412.10",57.51,16501.35059,0.795150952,0.7644,0.76405
-97,0.86,-11.35,0.0007,0.3136,0.4703,0.4446,16473.30078,"1,412.20",57.66,16455,0.778931751,0.7637,0.76275
-92.7,0.32,0.7,0.003,0.4262,0.4291,0.4509,16436.69922,"1,412.80",57.83,16509.34961,0.797950006,0.7618,0.7631
108.7,2.77,12.7,0.003,0.5383,0.6159,0.7482,16582,"1,424.90",60.43,16572.9502,0.820205404,0.7644,0.7646
127.2,2.37,6.5,0.0015,0.4804,0.5854,0.7755,16563.90039,"1,419.30",60.2,16544.9502,0.81040752,0.7648,0.7661
-56,-0.22,-0.1,-0.0033,0.4187,0.388,0.5051,16526,"1,424.80",60.21,16515.79981,0.800207087,0.7674,0.76685
-58.3,-0.62,6.8,0,0.4832,0.3575,0.5017,16505.59961,"1,426.10",59.58,16496.29981,0.793383561,0.7663,0.7652
-39,-2.59,-1.2,0.0036,0.4084,0.2073,0.5302,16487,"1,423.60",57.62,16498.04981,0.793995929,0.7641,0.7652
3.5,-2.8,9.8,-0.0007,0.5112,0.1913,0.5929,16509.09961,"1,435.90",56.78,16487,0.790129332,0.7663,0.767
-22.1,-2.32,17.2,-0.0055,0.5804,0.2279,0.5551,16464.90039,"1,440.80",55.3,16500.90039,0.794993418,0.7677,0.76665
27.8,-1.15,3.5,-0.0042,0.4523,0.3171,0.6288,16536.90039,"1,439.40",55.63,16520.90039,0.801991906,0.7656,0.7639
40,0.92,-1.1,-0.0013,0.4093,0.4748,0.6468,16504.90039,"1,439.70",56.22,16543.7002,0.809970115,0.7622,0.7618
45.6,1.14,-4.9,-0.0017,0.3738,0.4916,0.6551,16582.5,"1,434.50",56.77,16559.29981,0.815428799,0.7614,0.76115
31.2,-0.34,-3.2,-0.0014,0.3897,0.3788,0.6338,16536.09961,"1,436.50",55.88,16574.59961,0.820782574,0.7609,0.7603
30.6,-0.75,-7,0,0.3542,0.3476,0.6329,16613.09961,"1,427.50",56.02,16572.9502,0.820205404,0.7597,0.7596
-3.3,0.32,-4.3,0.0011,0.3794,0.4291,0.5829,16532.80078,"1,432.20",56.2,16541.10059,0.809060448,0.7595,0.7596
-63.7,0.85,5.8,-0.0016,0.4738,0.4695,0.4937,16549.40039,"1,433.30",56.87,16491.4502,0.791686564,0.7597,0.76015
-99.3,1.85,9.6,-0.0037,0.5093,0.5457,0.4412,16433.5,"1,441.80",58.05,16440.40039,0.773822991,0.7606,0.75935
-102.1,1.71,4.5,-0.0009,0.4617,0.5351,0.437,16447.30078,"1,437.80",58.58,16418.25,0.766072028,0.7581,0.7575
-44.3,-4.1,-9.4,-0.0039,0.3318,0.0922,0.5224,16389.19922,"1,432.40",53.95,16378.89942,0.752302298,0.7569,0.75705
-78.7,-2.92,19.7,-0.0054,0.6037,0.1822,0.4716,16368.59961,"1,457.50",55.66,16239.79981,0.703627948,0.7572,0.7551
-278.2,-0.32,51.8,0.0031,0.9037,0.3803,0.1771,16111,"1,484.20",53.63,16101.8501,0.655355978,0.753,0.7524
-275.9,-4.57,62.1,0.0042,1,0.0564,0.1805,16092.7002,"1,519.60",51.09,16198.7002,0.689246193,0.7518,0.75395
193.7,-1.09,25.3,-0.0008,0.6561,0.3216,0.8737,16304.7002,"1,509.50",52.54,16338.3501,0.738113103,0.7561,0.75605
279.3,3.41,-11.1,0.0002,0.3159,0.6646,1,16372,"1,508.50",54.5,16348.79981,0.741769709,0.756,0.75565
20.9,2.39,7.7,-0.0045,0.4916,0.5869,0.6186,16325.59961,"1,517.20",54.93,16280.44971,0.717852342,0.7553,0.75575
-136.7,2.6,5.6,-0.0049,0.472,0.6029,0.386,16235.29981,"1,514.10",57.1,16223.89991,0.698064185,0.7562,0.7535
-113.1,0.3,10.6,0.0027,0.5187,0.4276,0.4208,16212.5,"1,527.80",55.23,16119.6001,0.661567136,0.7508,0.75105
-208.6,-2.63,17.1,-0.0008,0.5794,0.2043,0.2799,16026.7002,"1,531.20",54.47,16045.5503,0.635655302,0.7513,0.7524
-148.1,-0.36,-4.2,-0.0025,0.3804,0.3773,0.3692,16064.40039,"1,523.60",54.87,16141.3501,0.669177993,0.7535,0.752
191.6,1.74,-19.6,0.0019,0.2364,0.5373,0.8706,16218.29981,"1,511.60",56.21,16249.8501,0.707144792,0.7505,0.75075
217,1.47,-7.9,0.0007,0.3458,0.5168,0.908,16281.40039,"1,515.70",56.34,16264.4502,0.712253721,0.751,0.7517
29.2,-0.53,4.1,0.0005,0.4579,0.3643,0.6308,16247.5,"1,515.70",55.68,16280.75,0.717957421,0.7524,0.75205
32.6,-0.99,-7.2,0.0027,0.3523,0.3293,0.6359,16314,"1,508.50",55.35,16264.39991,0.712236124,0.7517,0.7523
-32.7,-1.51,21.9,0,0.6243,0.2896,0.5395,16214.79981,"1,537.60",54.17,16174.19971,0.680672873,0.7529,0.75365
-180.4,-1.71,28.7,-0.0029,0.6879,0.2744,0.3215,16133.59961,"1,537.20",53.64,16136.04981,0.66732329,0.7544,0.75365
-76.3,0.76,14.2,-0.0002,0.5523,0.4627,0.4751,16138.5,"1,551.80",54.93,16158.6001,0.675214189,0.7529,0.7522
45.1,2.14,11.9,-0.0003,0.5308,0.5678,0.6543,16178.7002,"1,549.10",55.78,16269.50001,0.714020773,0.7515,0.7521
221.8,1.78,-14.9,-0.0027,0.2804,0.5404,0.9151,16360.29981,"1,536.90",56.71,16396.0503,0.75830381,0.7527,0.75195
253.1,-0.68,-19.7,0.005,0.2355,0.3529,0.9613,16431.80078,"1,529.40",55.1,16407.15039,0.762188004,0.7512,0.7506
